step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,221237140_stopped,221237140_accumulated_waiting_time,221237140_average_speed,221237260_stopped,221237260_accumulated_waiting_time,221237260_average_speed,221237272_stopped,221237272_accumulated_waiting_time,221237272_average_speed,221239539_stopped,221239539_accumulated_waiting_time,221239539_average_speed,221241076_stopped,221241076_accumulated_waiting_time,221241076_average_speed,221251086_stopped,221251086_accumulated_waiting_time,221251086_average_speed,221261813_stopped,221261813_accumulated_waiting_time,221261813_average_speed,cluster_221237147_7811951337_7811951340_stopped,cluster_221237147_7811951337_7811951340_accumulated_waiting_time,cluster_221237147_7811951337_7811951340_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
350.0,4,810.0,202.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,786.0,0.0,1,32.0,0.0,0,0.0,1.0,0,0.0,1.0,4,818.0
355.0,4,830.0,207.5,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,801.0,0.0,1,37.0,0.0,0,0.0,1.0,0,0.0,1.0,4,838.0
360.0,5,853.0,170.6,0.0,1,3.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,816.0,0.0,1,42.0,0.0,0,0.0,1.0,0,0.0,1.0,5,861.0
365.0,4,870.0,174.0,0.2699151050951332,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,831.0,0.0,1,47.0,0.0,0,0.0,1.0,0,0.0,1.0,4,878.0
370.0,4,890.0,178.0,2.4292715850146487,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,846.0,0.0,1,56.0,0.19870655634889542,0,0.0,1.0,0,0.0,1.0,4,902.0
375.0,4,910.0,182.0,0.309437824220326,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,861.0,0.0,1,61.0,0.025311012911940448,0,0.0,1.0,0,0.0,1.0,4,922.0
380.0,5,935.0,187.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,876.0,0.0,2,71.0,0.0,0,0.0,1.0,0,0.0,1.0,5,947.0
385.0,5,960.0,192.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,891.0,0.0,2,81.0,0.0,0,0.0,1.0,0,0.0,1.0,5,972.0
390.0,5,985.0,197.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,906.0,0.0,2,91.0,0.0,0,0.0,1.0,0,0.0,1.0,5,997.0
395.0,5,1010.0,202.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,921.0,0.0,2,101.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1022.0
400.0,5,1035.0,207.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,936.0,0.0,2,111.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1047.0
405.0,5,1060.0,212.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,951.0,0.0,2,121.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1072.0
410.0,5,1085.0,217.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,966.0,0.0,2,131.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1097.0
415.0,5,1110.0,222.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,981.0,0.0,2,141.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1122.0
420.0,5,1135.0,227.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,996.0,0.0,2,151.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1147.0
425.0,5,1160.0,232.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1011.0,0.0,2,161.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1172.0
430.0,5,1185.0,197.5,2.002755833086399,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1026.0,0.0,2,171.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1197.0
435.0,5,1210.0,201.66666666666666,2.149915125196796,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,3,1041.0,0.0,2,181.0,0.0,0,0.0,1.0,0,0.0,1.0,5,1222.0
